,시설명,시도명,시군구명,소재지도로명주소,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호
30,안내면행정복지센터,충청북도,옥천군,충청북도 옥천군 안내면 현리길 66,휴게실,09:00,18:00,09:00,18:00,09:00,18:00,0,N,Y,충청북도 옥천군,043-730-3645
31,옥천읍행정복지센터,충청북도,옥천군,충청북도 옥천군 옥천읍 동부로 15,민원봉사실 입구 왼쪽,09:00,18:00,09:00,18:00,09:00,18:00,0,N,Y,충청북도 옥천군,043-730-3645
32,대덕읍 행정복지센터,전라남도,장흥군,전라남도 장흥군 대덕읍 대대로 929,1층 민원실 무인발급기 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,전라남도 장흥군 대덕읍행정복지센터,061-860-8433
33,용산면 행정복지센터,전라남도,장흥군,전라남도 장흥군 용산면 장흥대로 2467,1층 입구 우측,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,전라남도 장흥군 용산면행정복지센터,061-860-8734
34,안양면 행정복지센터,전라남도,장흥군,전라남도 장흥군 안양면 안양로 135-8,1층 맞춤형 복지팀 민원창구 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,전라남도 장흥군 안양면행정복지센터,061-860-8735
35,장동면 행정복지센터,전라남도,장흥군,전라남도 장흥군 장동면 신북1길 35,면사무소 출입구 우측,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,전라남도 장흥군 장동면행정복지센터,061-860-8746
36,유치면 행정복지센터,전라남도,장흥군,전라남도 장흥군 유치면 유치로 22,면사무소 출입구 우측,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,전라남도 장흥군 유치면행정복지센터,061-860-8728
37,민락역,부산광역시,수영구,부산광역시 수영구 수영로 769,엘리베이터 1호기 옆,05:29,00:24,05:29,00:24,05:29,00:24,2,N,Y,부산광역시 수영구 가족행복과,051-610-4164
38,국민체육센터,부산광역시,수영구,부산광역시 수영구 수영로521번길 77,지하 1층 주 출입구,06:00,22:00,09:00,17:00,09:00,17:00,2,N,Y,부산광역시 수영구 행정지원과,051-610-4795
39,장애인복지관,부산광역시,수영구,부산광역시 수영구 장대골로 75-14,1층 마당,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,부산광역시 수영구 가족행복과,051-610-4164
40,남면행정복지센터,전라남도,장성군,전라남도 장성군 남면 못재로 85,화장실 앞 복도,09:00,18:00,00:00,00:00,00:00,00:00,1,N,Y,전라남도 장성군 남면행정복지센터,061-390-6879
41,삼계면행정복지센터,전라남도,장성군,전라남도 장성군 삼계면 영장로 1585,화장실 앞 복도,09:00,18:00,00:00,00:00,00:00,00:00,1,N,Y,전라남도 장성군 삼계면행정복지센터,061-390-6973
42,황룡면행정복지센터,전라남도,장성군,전라남도 장성군 황룡면 신월산2길 20,화장실 앞 복도,09:00,18:00,00:00,00:00,00:00,00:00,1,N,Y,전라남도 장성군 황룡면행정복지센터,061-390-6995
43,북하면행정복지센터,전라남도,장성군,전라남도 장성군 북하면 약수2길 2,화장실 앞 복도,09:00,18:00,00:00,00:00,00:00,00:00,1,N,Y,전라남도 장성군 북하면행정복지센터,061-390-7977
44,장애인복지관,전라남도,장성군,전라남도 장성군 장성읍 강변안길 90,현관입구,09:00,18:00,00:00,00:00,00:00,00:00,1,N,Y,전라남도 장성군 장애인복지관,061-393-6336
45,예산군청,충청남도,예산군,충청남도 예산군 예산읍 군청로 22,예산군청 민원봉사과 민원안내 뒤편 휠체어 보관장소 옆,09:00,18:00,09:00,18:00,09:00,18:00,2,N,Y,충청남도 예산군청,041-339-7152
46,예산군농업기술센터,충청남도,예산군,충청남도 예산군 신암면 오신로 852,예산군 농업기술센터 교육관 1층 문 왼쪽,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,충청남도 예산군청,041-339-8114
47,예산읍행정복지센터,충청남도,예산군,충청남도 예산군 예산읍 예산로176번길 15,예산군 예산읍행정복지센터 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,충청남도 예산군청,041-339-8424
48,삽교읍행정복지센터,충청남도,예산군,충청남도 예산군 삽교읍 두리3길 33,예산군 삽교읍행정복지센터 팩스 옆,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,충청남도 예산군청,041-339-8493
49,삽교읍주민복합지원센터,충청남도,예산군,충청남도 예산군 삽교읍 예학로 65,예산군 주민복합지원센터 실내 무인민원발급기 옆,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,충청남도 예산군청,041-339-8506
50,신양면행정복지센터,충청남도,예산군,충청남도 예산군 신양면 청신로 372,예산군 신양면행정복지센터 민원팀 옆 휴게실 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,충청남도 예산군청,041-339-8574
51,광시면행정복지센터,충청남도,예산군,충청남도 예산군 광시면 광시소길 16,예산군 광시면행정복지센터 민원실 창구 옆,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,충청남도 예산군청,041-339-8614
52,대흥면행정복지센터,충청남도,예산군,충청남도 예산군 대흥면 의좋은형제길 37,예산군 대흥면행정복지센터 복지팀 앞 정수기 옆,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,충청남도 예산군청,041-339-8653
53,덕산면행정복지센터,충청남도,예산군,충청남도 예산군 덕산면 덕산온천로 391,예산군 덕산면행정복지센터 주민상담실 안,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,충청남도 예산군청,041-339-8732
54,고덕면행정복지센터,충청남도,예산군,충청남도 예산군 고덕면 고덕중앙로 45-5,예산군 고덕면행정복지센터 민원팀 창구옆,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,충청남도 예산군청,041-339-8815
55,예산군장애인종합복지관,충청남도,예산군,충청남도 예산군 신암면 추사고택로 496,예산군 장애인종합복지관 1층 안내데스크 옆,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,충청남도 예산군청,041-330-9005
56,예산군노인종합복지관,충청남도,예산군,충청남도 예산군 예산읍 벚꽃로 214-11,예산군 노인종합복지관 지하1층 식당 앞,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,충청남도 예산군청,041-330-2901
57,영천시장애인종합복지관,경상북도,영천시,경상북도 영천시 보목2길 10,영천시장애인종합복지관 주차장 인근,07:00,22:00,07:00,22:00,00:00,00:00,6,N,Y,영천시장애인종합복지관,054-333-3535
58,영천시종합사회복지관,경상북도,영천시,경상북도 영천시 충효로 147,영천시종합사회복지관 주차장 인근,09:00,18:00,09:00,18:00,00:00,00:00,2,N,Y,영천시종합사회복지관,054-332-8418
59,청통면종합복지타운,경상북도,영천시,경상북도 영천시 청통면 청통초등길 13,청통면종합복지타운 주차장 인근,00:00,23:59,00:00,23:59,00:00,23:59,2,N,Y,청통면종합복지타운,054-339-7116
60,오정동행정복지센터,대전광역시,대덕구,대전광역시 대덕구 한밭대로972번길 92,출입구 좌측,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,대전지체장애인협회,042-471-0084
61,비래동행정복지센터,대전광역시,대덕구,대전광역시 대덕구 비래동로 10,민원실 안쪽 우측,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,대전지체장애인협회,042-471-0084
62,송촌동행정복지센터,대전광역시,대덕구,대전광역시 대덕구 동춘당로94번길 11,1층하나은행정문,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,대전지체장애인협회,042-471-0084
63,신탄진동행정복지센터,대전광역시,대덕구,대전광역시 대덕구 신탄진로 830,입구우측,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,대전지체장애인협회,042-471-0084
64,대덕구청,대전광역시,대덕구,대전광역시 대덕구 대전로1033번길 20,주차장 왼쪽 입구안,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,대전지체장애인협회,042-471-0084
65,대전웰니스병원,대전광역시,대덕구,대전광역시 대덕구 동서대로1777번길 2,정문출입구,09:00,17:30,09:00,13:30,00:00,00:00,2,Y,Y,대전지체장애인협회,042-471-0084
66,한국장애인고용공단 대전직업능력개발원,대전광역시,대덕구,대전광역시 대덕구 신일동로 70,휴게실,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,대전지체장애인협회,042-471-0084
67,근로복지공단 대전병원,대전광역시,대덕구,대전광역시 대덕구 계족로 637,본관지하1층,09:00,17:30,00:00,00:00,00:00,00:00,2,Y,Y,대전지체장애인협회,042-471-0084
68,중리종합사회복지관,대전광역시,대덕구,대전광역시 대덕구 계족로 663번길 34,입구좌측,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,대전지체장애인협회,042-471-0084
69,법동주공3단지아파트,대전광역시,대덕구,대전광역시 대덕구 계족로 663번길 34,1층 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,대전지체장애인협회,042-471-0084
70,법동주공2단지아파트,대전광역시,대덕구,대전광역시 대덕구 계족로 663번길 29,1층입구,09:00,18:00,09:00,18:00,09:00,18:00,2,N,Y,대전지체장애인협회,042-471-0084
71,성신여대입구역 우이신설,서울특별시,성북구,서울특별시 성북구 동소문로 지하102,B1층 1번출구 엘리베이터 앞,06:30,23:00,06:30,23:00,06:30,23:00,2,N,Y,서울특별시 성북구 성신여대입구역-우이신설,02-3499-5561
72,정릉역 우이신설,서울특별시,성북구,서울특별시 성북구 아리랑로 지하122,B1층 게이트안 엘리베이터 앞,06:30,23:00,06:30,23:00,06:30,23:00,2,N,Y,서울특별시 성북구 정릉역-우이신설,02-3499-5561
73,아리랑시네센터,서울특별시,성북구,서울특별시 성북구 아리랑로 82,B1층 정문 광장,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,서울특별시 성북구 아리랑시네센터,02-3291-5541
74,장항읍행정복지센터,충청남도,서천군,충청남도 서천군 장항읍 장항로 208,1층 현관,09:00,18:00,09:00,12:00,09:00,18:00,1,N,Y,장항읍행정복지센터,041-950-6300
75,마서면행정복지센터,충청남도,서천군,충청남도 서천군 마서면 장서로 685,1층 현관,09:00,18:00,09:00,12:00,09:00,18:00,1,N,Y,마서면행정복지센터,041-950-6360
76,비인면행정복지센터,충청남도,서천군,충청남도 서천군 비인면 비인로 194-1,1층 현관,09:00,18:00,09:00,12:00,09:00,18:00,1,N,Y,비인면행정복지센터,041-950-6540
77,성북구청,서울특별시,성북구,서울특별시 성북구 보문로 168,1층 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,서울특별시 성북구청,02-2241-2512
78,종암경찰서,서울특별시,성북구,서울특별시 성북구 화랑로7길 32,1층 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,서울특별시 성북구 종암경찰서,182
79,한성대역,서울특별시,성북구,서울특별시 성북구 삼선교로 지하1,B1 고객안내센터 앞,06:30,23:00,06:30,23:00,06:30,23:00,2,N,Y,서울특별시 성북구 한성대역,02-6110-4191
80,보문역,서울특별시,성북구,서울특별시 성북구 보문로 116,B2 6호선 대합실),06:30,23:00,06:30,23:00,06:30,23:00,2,N,Y,서울특별시 성북구 보문역,02-6311-6381
81,돌곶이역,서울특별시,성북구,서울특별시 성북구 화랑로 지하243,B1 편의점 옆),06:30,23:00,06:30,23:00,06:30,23:00,2,N,Y,서울특별시 성북구 돌곶이역,02-6311-6431
82,월곡역,서울특별시,성북구,서울특별시 성북구 장월로 1길 91,B2 승강기 앞),06:30,23:00,06:30,23:00,06:30,23:00,2,N,Y,서울특별시 성북구 월곡역,02-6311-6411
83,성북장애인자립생활센터,서울특별시,성북구,서울특별시 성북구 보문로 134,2층,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,서울특별시 성북구 성북장애인자립생활센터,02-921-7232
84,안산자락길,서울특별시,서대문구,,안산자락길,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,안산자락길,02-330-1266
85,성북장애인보장구수리센터,서울특별시,성북구,서울특별시 성북구 보문로 133,1층 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,서울특별시 성북구 성북장애인보장구수리센터,02-921-7230
86,월곡종합사회복지관,서울특별시,성북구,서울특별시 성북구 오패산로 16길 23,1층 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,서울특별시 성북구 월곡종합사회복지관,02-911-5511
87,성북구지체장애인협회,서울특별시,성북구,서울특별시 성북구 화랑로 13가길 100,1층 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,서울특별시 성북구 성북구지체장애인협회,02-914-2070
88,길음종합사회복지관,서울특별시,성북구,서울특별시 성북구 삼양로 8가길 32,1층 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,서울특별시 성북구 길음종합사회복지관,02-985-0161
89,성북구장애인단체연합회,서울특별시,성북구,서울특별시 성북구 오패산로3길 95,1층 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,서울특별시 성북구 성북구장애인단체연합회,02-912-5990
90,길음역,서울특별시,성북구,서울특별시 성북구 동소문로 248,B1층 1~4번출구내려와서 상가 왼편,06:30,23:00,06:30,23:00,06:30,23:00,2,N,Y,서울특별시 성북구 길음역,02-6110-4171
91,안암역,서울특별시,성북구,서울특별시 성북구 고려대로 89,B2층 보관함과 게이트 사이,06:30,23:00,06:30,23:00,06:30,23:00,2,N,Y,서울특별시 성북구 안암역,02-6311-6391
92,수락산역(7호선),서울특별시,노원구,서울특별시 노원구 동일로 지하1662,수락산역 7호선 역사 내,05:00,23:00,05:00,20:00,05:00,20:00,2,Y,N,수락산역,02-6311-7111
93,노원역(4호선),서울특별시,노원구,서울특별시 노원구 상계로 69-1(지하),노원역 4호선 지상1층 대합실 고객서비스센터 맞은편,05:00,23:00,05:00,20:00,05:00,20:00,2,Y,N,노원역,02-952-9000
94,노원노인종합복지관,서울특별시,노원구,서울특별시 노원구 노원로16길 15,중계주공9단지 상가 옆,09:00,18:00,09:00,13:00,00:00,00:00,2,Y,N,노원노인종합복지관,02-2092-1725
95,늘편한집,서울특별시,노원구,서울특별시 노원구 중계로 163,노원문화예술회관 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,늘편한집,02-933-5228
96,수락산 순환산책로,서울특별시,노원구,,수락산 순환산책로 제1데크쉼터,06:00,18:00,06:00,18:00,06:00,18:00,2,N,N,서울특별시 노원구 장애인복지과,02-2116-3327
97,장애인친화미용실,서울특별시,노원구,서울특별시 노원구 동일로243길 49,장애인 친화미용실 내부,10:00,19:00,00:00,00:00,00:00,00:00,1,N,N,서울특별시 노원구 장애인복지과,02-2116-3327
98,월계문화복지센터,서울특별시,노원구,서울특별시 노원구 월계로 42길 9,월계문화복지센터 입구,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,월계문화복지센터,02-909-3273
99,월계보건지소,서울특별시,노원구,서울특별시 노원구 월계로378,서울특별시 노원구 월계보건지소,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,서울특별시 노원구 월계보건지소,02-2116-4585
100,지체장애인협회 하계2동 분회,서울특별시,노원구,서울특별시 노원구 섬밭로 201,하계주공5단지 인근,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,하계2동분회(지체장애인협회),02-952-9000
101,중랑천 만남의 광장,서울특별시,노원구,,중랑천 만남의 광장(중랑천 당현천 합류 부분),00:00,23:59,00:00,23:59,00:00,23:59,1,N,N,서울특별시 노원구 장애인복지과,02-2116-3327
102,아차산 동행숲길,서울특별시,광진구,서울특별시 광진구 워커힐로 127,전망데크,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,서울특별시 광진구,02-450-7532
103,혜남학교,부산광역시,남구,부산광역시 남구 진남로166번길 10-19,1층 복도 좌측 도서관,08:30,16:30,00:00,00:00,00:00,00:00,2,N,Y,부산광역시 보조기기센터,051-790-6190
104,대연역,부산광역시,남구,부산광역시 남구 수영로 지하 242,1번 출구,06:00,23:59,06:00,23:59,06:00,23:59,2,N,Y,부산광역시 보조기기센터,051-790-6190
105,문현역,부산광역시,남구,부산광역시 남구 전포대로 지하 17,1번 출구,06:00,23:59,06:00,23:59,06:00,23:59,2,N,Y,부산광역시 보조기기센터,051-790-6190
106,못골역,부산광역시,남구,부산광역시 남구 수영로 지하 170,4번 출구,06:00,23:59,06:00,23:59,06:00,23:59,2,N,Y,부산광역시 보조기기센터,051-790-6190
107,남구청,부산광역시,남구,부산광역시 남구 못골로 19,1층 부산은행 맞은편,00:00,23:59,00:00,23:59,00:00,23:59,2,N,Y,부산광역시 남구청,051-607-4331
108,지게골역,부산광역시,남구,부산광역시 남구 수영로 지하 70,만남의 장소 인근,06:00,23:59,06:00,23:59,06:00,23:59,2,N,Y,부산광역시 남구청,051-607-4331
109,논공읍 출장소 행정복지센터,대구광역시,달성군,대구광역시 달성군 논공읍 논공중앙로33길 3,본관 내 복지팀 앞,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,논공읍 출장소 행정복지센터,053-668-5470
110,다사읍 행정복지센터,대구광역시,달성군,대구광역시 달성군 다사읍 매곡로12길 37,주민자치센터 본관 내,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,다사읍 행정복지센터,053-668-5522
111,유가읍 행정복지센터,대구광역시,달성군,대구광역시 달성군 유가읍 테크노상업로 95,본관 내 무인발급기 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,유가읍 행정복지센터,053-668-5795
112,옥포읍 행정복지센터,대구광역시,달성군,대구광역시 달성군 옥포읍 비슬로 2215,본관 1층 복지팀 옆문 밖,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,옥포읍 행정복지센터,053-668-5650
113,현풍읍 행정복지센터,대구광역시,달성군,대구광역시 달성군 현풍읍 비슬로134길 157,본관 출입문 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,현풍읍 행정복지센터,053-668-5693
114,가창면 행정복지센터,대구광역시,달성군,대구광역시 달성군 가창면 가창로 1100,본관 내 출입문 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,가창면 행정복지센터,053-668-5571
115,구지면 행정복지센터,대구광역시,달성군,대구광역시 달성군 구지면 창리로11길 38,본관 내 지역개발팀 앞,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,구지면 행정복지센터,053-668-5760
116,하빈면 행정복지센터,대구광역시,달성군,대구광역시 달성군 하빈면 하빈로84길 1,본관 내 민원인 팩스기 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,하빈면 행정복지센터,053-668-5610
117,다사 서재출장소 행정복지센터,대구광역시,달성군,대구광역시 달성군 다사읍 서재본길 25,청사 우측 1층 계단 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,다사 서재출장소 행정복지센터,053-668-5522
118,논공읍 행정복지센터,대구광역시,달성군,대구광역시 달성군 논공읍 비슬로 1779,청사 좌측 1층 계단 앞,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,논공읍 행정복지센터,053-668-5470
119,음성읍행정복지센터,충청북도,음성군,충청북도 음성군 음성읍 예술로 106,행정복지센터 후문 입구의 왼편,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,충청북도 음성군청,043-871-3342
120,대소면행정복지센터,충청북도,음성군,충청북도 음성군 대소면 오태로 57-16,행정복지센터 정문 입구의 오른편,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,충청북도 음성군청,043-871-3342
121,음성군장애인복지관,충청북도,음성군,충청북도 음성군 금왕읍 무극로309번길 43-6,장애인복지관 정문 입구의 오른편,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,충청북도 음성군청,043-871-3342
122,음성장애인자립생활센터,충청북도,음성군,충청북도 음성군 금왕읍 응천서길27번길 11,음성장애인자립생활센터 정문 입구의 왼편,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,충청북도 음성군청,043-871-3342
123,음성꽃동네심신장애인요양시설,충청북도,음성군,충청북도 음성군 맹동면 꽃동네길 33,음성꽃동네심신장애인요양시설 2층 공동홀 중앙,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,충청북도 음성군청,043-871-3342
124,성북장애인복지관,서울특별시,성북구,서울특별시 성북구 화랑로130,"복지관 (지하1층, 1층 입구, 4층)",09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,서울특별시 성북구 성북장애인복지관,02-915-9200
125,내곡동주민센터,강원도,강릉시,강원도 강릉시 범일로 574,내곡동주민센터,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,강원도 강릉시청,033-640-5346
126,경포동주민센터,강원도,강릉시,강원도 강릉시 운정길 16,경포동주민센터,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,강원도 강릉시청,033-640-5346
127,대전광역시립체육재활원,대전광역시,대덕구,대전광역시 대덕구 대화로 10,2층 엘리베이터 앞,06:00,21:00,06:00,19:00,00:00,00:00,2,Y,Y,대전지체장애인협회,042-471-0084
128,신탄진역,대전광역시,대덕구,대전광역시 대덕구 신탄진로 807,2층대기실,09:00,18:00,09:00,18:00,09:00,06:00,2,Y,Y,대전지체장애인협회,042-471-0084
129,대덕구장애인종합복지관,대전광역시,대덕구,대전광역시 대덕구 신탄진로 77,1층 통로,09:00,18:00,09:00,18:00,00:00,00:00,2,Y,Y,대전지체장애인협회,042-471-0084
